video,content,resolution,bitrate
F6_the_way_it_bubbles_res=720_bitrate=0.25.avi,F6_the_way_it_bubbles,720,0.25
M8_Quaker_res=480_bitrate=2.avi,M8_Quaker,480,2
F8_delicious_Maine_Lobster_res=1080_bitrate=2.avi,F8_delicious_Maine_Lobster,1080,2
M8_Quaker_res=720_bitrate=0.25.avi,M8_Quaker,720,0.25
M4_tshirt_says_captain_res=1080_bitrate=0.8.avi,M4_tshirt_says_captain,1080,0.8
M2_cheat_code_res=1080_bitrate=2.avi,M2_cheat_code,1080,2
M4_tshirt_says_captain_res=720_bitrate=0.25.avi,M4_tshirt_says_captain,720,0.25
M3_died_at_32_res=1080_bitrate=0.8.avi,M3_died_at_32,1080,0.8
M3_hold_tea_handle_res=720_bitrate=0.8.avi,M3_hold_tea_handle,720,0.8
M5_shotgun_is_heavy_res=360_bitrate=0.8.avi,M5_shotgun_is_heavy,360,0.8
M8_scenario_in_darkroom_res=1080_bitrate=reference.avi,M8_scenario_in_darkroom,1080,reference
F6_the_way_it_bubbles_res=1080_bitrate=2.avi,F6_the_way_it_bubbles,1080,2
F10_grandkids_talk_to_daughter_res=1080_bitrate=0.8.avi,F10_grandkids_talk_to_daughter,1080,0.8
M3_died_at_32_res=480_bitrate=2.avi,M3_died_at_32,480,2
M8_scenario_in_darkroom_res=1080_bitrate=2.avi,M8_scenario_in_darkroom,1080,2
M3_died_at_32_res=480_bitrate=0.25.avi,M3_died_at_32,480,0.25
M4_tshirt_says_captain_res=480_bitrate=2.avi,M4_tshirt_says_captain,480,2
F10_grandkids_talk_to_daughter_res=480_bitrate=2.avi,F10_grandkids_talk_to_daughter,480,2
F6_the_way_it_bubbles_res=1080_bitrate=reference.avi,F6_the_way_it_bubbles,1080,reference
M8_scenario_in_darkroom_res=360_bitrate=0.8.avi,M8_scenario_in_darkroom,360,0.8
M8_Quaker_res=720_bitrate=0.8.avi,M8_Quaker,720,0.8
F8_delicious_Maine_Lobster_res=480_bitrate=0.8.avi,F8_delicious_Maine_Lobster,480,0.8
M8_Quaker_res=1080_bitrate=0.8.avi,M8_Quaker,1080,0.8
F7_let_me_think_res=480_bitrate=2.avi,F7_let_me_think,480,2
M5_shotgun_is_heavy_res=480_bitrate=0.8.avi,M5_shotgun_is_heavy,480,0.8
M8_Quaker_res=720_bitrate=2.avi,M8_Quaker,720,2
M4_new_girlfriend_res=1080_bitrate=0.8.avi,M4_new_girlfriend,1080,0.8
M8_scenario_in_darkroom_res=480_bitrate=0.25.avi,M8_scenario_in_darkroom,480,0.25
M8_Quaker_res=480_bitrate=0.25.avi,M8_Quaker,480,0.25
F4_university_communication_access_res=720_bitrate=0.8.avi,F4_university_communication_access,720,0.8
F10_sign_permission_form_res=720_bitrate=2.avi,F10_sign_permission_form,720,2
M8_Quaker_res=480_bitrate=0.8.avi,M8_Quaker,480,0.8
